"Player","Games","W","L","Win %","K","D","A","KDA","GPM","XPM","LH","DN","LVL","HD","TD","HH","GS"
"MSS","22","14","8","0.6363636364","3.7272727272727275","5.590909090909091","13.909090909090908","4.350191853600944","322.8636363636364","419.04545454545456","70.13636363636364","4.7727272727272725","18.90909090909091","12582.727272727274","232.3181818181818","1782.7272727272727","10637.5"
"Resolut1on","22","14","8","0.6363636364","9.090909090909092","3.0454545454545454","10.136363636363637","11.23538961038961","600.1818181818181","612.0909090909091","336.6818181818182","12.636363636363637","22.09090909090909","22877.045454545456","5067.590909090909","9.090909090909092","20845.454545454544"
"SVG","22","14","8","0.6363636364","2.9545454545454546","6.409090909090909","15.772727272727273","3.799898333989243","288.6818181818182","363.6818181818182","47.81818181818182","3.909090909090909","17.40909090909091","9580","352.3181818181818","1095.090909090909","9946.59090909091"
"YawaR","22","14","8","0.6363636364","8.272727272727273","3.7272727272727275","10.318181818181818","8.204004329004329","552.5909090909091","572.7272727272727","295.22727272727275","14.5","21.681818181818183","21144.590909090908","3255.818181818182","792.2272727272727","18740.909090909092"
"Sneyking","22","14","8","0.6363636364","5.181818181818182","5.681818181818182","14.363636363636363","5.772053325462417","481.40909090909093","524.4545454545455","239.9090909090909","11.909090909090908","20.90909090909091","18277.090909090908","2980.5","2185.818181818182","16286.363636363636"
"Iceberg","21","7","14","0.3333333333","7.333333333333333","4.761904761904762","7.142857142857143","4.460959939531368","541.6190476190476","561.4761904761905","287.95238095238096","18.571428571428573","20.523809523809526","22440.238095238095","2809.5714285714284","459.6190476190476","17178.809523809523"
"Nongrata","21","7","14","0.3333333333","6.761904761904762","5","8.238095238095237","5.246428571428571","403.6190476190476","472.23809523809524","156.1904761904762","8.285714285714286","19","18548.95238095238","1497.952380952381","491.95238095238096","13092.142857142857"
"Silent","21","7","14","0.3333333333","5.142857142857143","5","9.333333333333334","5.055952380952381","477.3333333333333","503.76190476190476","243.9047619047619","12.523809523809524","19.571428571428573","17085.52380952381","2888.2380952380954","26","16155.952380952382"
"NoFear","21","7","14","0.3333333333","1.7619047619047619","6.857142857142857","11.619047619047619","2.2693980622552052","275.6190476190476","353.57142857142856","67.19047619047619","2.9523809523809526","16.571428571428573","9413.52380952381","615.8571428571429","765.3809523809524","9348.333333333334"
"ALWAYSWANNAFLY","21","7","14","0.3333333333","1.8095238095238095","9.142857142857142","12.095238095238095","2.344703907203907","239.76190476190476","283.42857142857144","34.857142857142854","2.5238095238095237","14.761904761904763","8774.42857142857","140.9047619047619","1297.3333333333333","8213.57142857143"
"Eurus","20","9","11","0.45","6.1","3.15","9.85","7.345","500.15","504.1","262.65","11.45","20.05","19447.15","3155.75","108.8","16871.5"
"ELeVeN","20","9","11","0.45","4.25","7.1","10.15","3.4305024142524143","423.1","489.1","208.95","9","19.85","13402.6","1032.6","571.85","13070.75"
"LaNm","20","9","11","0.45","2.85","4.85","12.8","4.365530303030303","293.9","419.8","81.7","2.75","18.35","10560.9","472.4","3010.7","9324.5"
"Ori","20","9","11","0.45","7.2","4","7.25","5.639285714285714","489.35","532.2","249.5","15.55","20.45","19326.2","2854.55","513.95","16380.5"
"Fenrir","20","9","11","0.45","2.9","7.35","10.5","2.3044155844155845","233.35","302","37.9","2.55","15.4","7920.05","194.5","2025.55","8557"
"Kpii","19","8","11","0.4210526316","4.947368421052632","4.842105263157895","12.105263157894736","4.842063492063492","446.3157894736842","492.05263157894734","224.47368421052633","16.105263157894736","20.842105263157894","13540.210526315788","2241.4736842105262","1719.157894736842","16519.21052631579"
"Ninjaboogie","19","6","13","0.3157894737","2.263157894736842","7.842105263157895","14.31578947368421","2.5343776106934","262.7894736842105","332.7368421052632","51.68421052631579","3.473684210526316","17.263157894736842","9601.263157894737","167.73684210526315","511.05263157894734","9388.684210526315"
"Moon","19","6","13","0.3157894737","6.157894736842105","4.947368421052632","9.421052631578947","4.5776106934001675","568.0526315789474","557.2105263157895","341.05263157894734","11.052631578947368","22.05263157894737","21950.473684210527","2287.5263157894738","279.36842105263156","21313.684210526317"
"Iceiceice","19","6","13","0.3157894737","4.2105263157894735","5.7894736842105265","12.368421052631579","4.9234335839599","425.5263157894737","474.63157894736844","217.52631578947367","8.789473684210526","20.526315789473685","16359.684210526317","1690.4736842105262","1602.8947368421052","15820.526315789473"
"XinQ","19","8","11","0.4210526316","7.105263157894737","3.5789473684210527","8.947368421052632","9.46077694235589","510.57894736842104","551.1052631578947","240.42105263157896","14.68421052631579","19.94736842105263","17541.684210526317","1902","1000.3157894736842","17548.157894736843"
"Sccc","19","8","11","0.4210526316","9.105263157894736","4.473684210526316","11.31578947368421","7.6484335839599","564.8421052631579","587.421052631579","340.7368421052632","13.157894736842104","22.473684210526315","22960.368421052633","3969.157894736842","479.6842105263158","20944.736842105263"
"Kaka","19","8","11","0.4210526316","4.2105263157894735","7.052631578947368","13.473684210526315","2.893886230728336","327.89473684210526","414.2631578947368","93.15789473684211","3.0526315789473686","19.210526315789473","13173.473684210527","382.2105263157895","867.7894736842105","12112.894736842105"
"Moogy","19","8","11","0.4210526316","8.105263157894736","3.6842105263157894","12.421052631578947","7.764661654135338","539.7368421052631","592.2105263157895","315.94736842105266","10.68421052631579","22.736842105263158","22580.526315789473","3025.842105263158","33.31578947368421","20568.947368421053"
"XCJ","19","8","11","0.4210526316","2.210526315789474","6.2631578947368425","11.263157894736842","4.2483709273182955","239.31578947368422","311.2105263157895","31.31578947368421","1.9473684210526316","14.736842105263158","9404.157894736842","196.10526315789474","594.9473684210526","7360"
"Pyw","19","8","11","0.4210526316","4","6.684210526315789","12","4.5004480899217745","286.1578947368421","369.36842105263156","62","4.842105263157895","16.263157894736842","10932.947368421053","769.3157894736842","709","8387.631578947368"
"Zyd","19","8","11","0.4210526316","6.315789473684211","4.2631578947368425","8.263157894736842","5.278989139515455","483.57894736842104","556","237.47368421052633","11.31578947368421","20.526315789473685","16777.894736842107","1806.1052631578948","148.68421052631578","14945"
"Jabz","19","6","13","0.3157894737","4.105263157894737","7.473684210526316","11.842105263157896","2.6948032961190855","311.36842105263156","401.8421052631579","77.89473684210526","1.5789473684210527","19.105263157894736","15891.736842105263","453.5263157894737","1826.2631578947369","10916.578947368422"
"Mushi","19","6","13","0.3157894737","7.526315789473684","4.894736842105263","8.842105263157896","4.046637426900585","520.6842105263158","522.6315789473684","306.8421052631579","13.842105263157896","21.63157894736842","21577.473684210527","3485.684210526316","886.9473684210526","19675.263157894737"
"Faith","19","8","11","0.4210526316","2.4210526315789473","7.631578947368421","15.052631578947368","2.728575225943647","276.05263157894734","363.10526315789474","65.78947368421052","2.736842105263158","18.105263157894736","8721.421052631578","371.5263157894737","1245.842105263158","9680"
"Flyfly","19","8","11","0.4210526316","5","4.7894736842105265","9.157894736842104","7.503634085213033","486.2631578947368","497.89473684210526","241.73684210526315","14.105263157894736","19.210526315789473","14892.105263157895","3225.4210526315787","11.789473684210526","16234.210526315788"
"Srf","18","4","14","0.2222222222","4.333333333333333","5.611111111111111","10.166666666666666","4.08025493025493","384.6111111111111","459.8888888888889","181.05555555555554","9.166666666666666","20.055555555555557","15469.333333333332","1488.2777777777778","962.7222222222222","13961.111111111111"
"Xxs","18","4","14","0.2222222222","6.777777777777778","4.666666666666667","8.555555555555555","4.299801587301587","574.2222222222222","558.7222222222222","320.55555555555554","12.222222222222221","22","20949","3111.4444444444443","92.77777777777777","22010.555555555555"
"Agressif","18","4","14","0.2222222222","7","4.722222222222222","8.555555555555555","5.409369488536155","488.27777777777777","503.72222222222223","279.8333333333333","16.555555555555557","21.11111111111111","22165.055555555555","1625.888888888889","487.72222222222223","17438.88888888889"
"Q","18","4","14","0.2222222222","2.2222222222222223","7.333333333333333","13.61111111111111","2.4110542235542236","293.22222222222223","374.8888888888889","78.94444444444444","3.388888888888889","18.333333333333332","11154.611111111111","159.83333333333334","866.2222222222222","10551.111111111111"
"BoBoKa","18","4","14","0.2222222222","3.611111111111111","5.777777777777778","13.555555555555555","4.082231040564374","287.1666666666667","388.6666666666667","78.72222222222223","5.388888888888889","18.666666666666668","13303.277777777777","810.4444444444445","2028.9444444444443","10380.277777777777"
"Freeze","17","6","11","0.3529411765","6.588235294117647","4.235294117647059","9.529411764705882","5.267647058823529","490.05882352941177","549.5882352941177","252.7058823529412","8.941176470588236","21.058823529411764","19421.941176470587","1840.2941176470588","968.2941176470588","16612.058823529413"
"Sam H","17","7","10","0.4117647059","5.294117647058823","3.8823529411764706","10.588235294117647","6.879901960784314","449.7647058823529","446.3529411764706","249.35294117647058","9.411764705882353","20.11764705882353","20799.529411764706","3197.470588235294","1135.1764705882354","17177.647058823528"
"Universe","17","7","10","0.4117647059","6.0588235294117645","3.764705882352941","12.058823529411764","7.906722689075631","443.3529411764706","464.52941176470586","204.88235294117646","12.823529411764707","20.41176470588235","18359.882352941175","1944","883","16055.882352941177"
"Pieliedie","17","7","10","0.4117647059","2","7.647058823529412","11.588235294117647","3.552321208203561","287.1764705882353","326.2352941176471","66.29411764705883","3.8823529411764706","17.11764705882353","10444.117647058823","83.88235294117646","2968.1176470588234","10231.470588235294"
"DJ","17","7","10","0.4117647059","5.705882352941177","5.352941176470588","13.647058823529411","6.183961463373228","336.70588235294116","409.05882352941177","97.05882352941177","3.1176470588235294","18.88235294117647","15850.941176470587","200.35294117647058","2205.235294117647","12005.29411764706"
"Raven","17","7","10","0.4117647059","6.823529411764706","3.1176470588235294","7.176470588235294","6.602450980392157","531.5882352941177","521.2352941176471","334.6470588235294","7.117647058823529","21.58823529411765","20295.941176470587","2700.9411764705883","207.05882352941177","20232.941176470587"
"Yang","17","6","11","0.3529411765","4","5.882352941176471","12","4.85209186238598","405","462.2352941176471","197.88235294117646","10.235294117647058","19.764705882352942","15484.941176470587","1649.3529411764705","2786.4117647058824","14149.411764705883"
"EternaLEnVy","17","7","10","0.4117647059","4.705882352941177","5.588235294117647","8.294117647058824","4.708963585434174","476.2352941176471","520.3529411764706","295.3529411764706","12.294117647058824","21.470588235294116","18406.823529411766","2458.470588235294","618.9411764705883","16784.70588235294"
"Abed","17","7","10","0.4117647059","8.117647058823529","3.7058823529411766","8.588235294117647","6.427871148459384","528.2352941176471","566.7058823529412","308.88235294117646","12.411764705882353","22.058823529411764","23893.29411764706","3521.3529411764707","85.41176470588235","20173.823529411766"
"Tims","17","7","10","0.4117647059","2.235294117647059","7","12.352941176470589","3.8903504991740285","289.4117647058824","381.8235294117647","62.294117647058826","3.7058823529411766","18.823529411764707","12110.882352941177","138.2941176470588","942.9411764705883","10955.29411764706"
"Ddc","17","6","11","0.3529411765","2.823529411764706","9.235294117647058","14.058823529411764","2.0846789648260238","249.05882352941177","314.94117647058823","46.529411764705884","2.823529411764706","16","10015.411764705883","183.58823529411765","280.5882352941176","8300.882352941177"
"Armel","17","7","10","0.4117647059","7.705882352941177","4.647058823529412","7.411764705882353","5.281372549019608","551.0588235294117","576.7058823529412","322.3529411764706","13.588235294117647","22.470588235294116","20474.529411764706","1891.9411764705883","25.88235294117647","20767.058823529413"
"Sylar","17","6","11","0.3529411765","8.176470588235293","3.8823529411764706","11.294117647058824","7.55","558.3529411764706","576.6470588235294","305.70588235294116","7.294117647058823","21.41176470588235","22016","3965.3529411764707","878.8823529411765","19326.470588235294"
"Fade","17","6","11","0.3529411765","4.647058823529412","5.647058823529412","12.647058823529411","4.0540573805279685","327.1764705882353","410","86.29411764705883","3","18.647058823529413","13933.470588235294","188.94117647058823","1881.6470588235295","11135"
"Kuku","17","7","10","0.4117647059","1.8235294117647058","9.117647058823529","12.882352941176471","2.0341919518390106","284.05882352941177","337.05882352941177","76.76470588235294","4.0588235294117645","17.647058823529413","10013.529411764706","346.8235294117647","499.47058823529414","10951.764705882353"
"Kingrd","16","5","11","0.3125","2.8125","9.1875","13.1875","1.8226675234487735","280.875","400.625","59.0625","3.6875","18.8125","11592.625","266.4375","808.125","9088.125"
"W33","16","5","11","0.3125","8","6.375","7.625","3.0695256132756135","543.375","540.0625","270.25","15.125","21.375","22400.5625","2079.0625","29.25","18970"
"HFn","16","5","11","0.3125","6.3125","6.125","9.8125","3.584607233044733","546.125","601.5625","338.125","7.75","21.75","21562.8125","3342.5","74.0625","21001.5625"
"Duster","16","5","11","0.3125","2.75","9.125","11.5625","2.2909283424908424","258.875","315.9375","38.5","3.1875","16.5","10164","167.9375","1255.5625","8886.875"
"Tavo","16","5","11","0.3125","4.75","7","9.1875","2.24890873015873","431.375","475.4375","209.5","13","20.1875","15974.8125","1015.3125","658.5625","13939.375"
